From Station,To Station,Fare
Central Metro,Central Metro,0
Central Metro,High Court,8
Central Metro,Mannadi,16
Central Metro,Washermenpet,32
Central Metro,Thyagaraya College,32
Central Metro,Tondiarpet,32
Central Metro,New Washermenpet,32
Central Metro,Toll Gate,32
Central Metro,Kaladipet,32
Central Metro,Thiruvotriyur Theredi,32
Central Metro,Thiruvotriyur,32
Central Metro,Wimco Nagar,32
Central Metro,Wimco Nagar Depot,32
Central Metro,Ekkattuthangal,32
Central Metro,Ashok Nagar,32
Central Metro,Vadapalani,32
Central Metro,Arumbakkam,32
Central Metro,CMBT Metro,32
Central Metro,Koyambedu,32
Central Metro,Thirumangalam,32
Central Metro,Anna Nagar Tower,32
Central Metro,Anna Nagar East,32
Central Metro,Shenoy Nagar,32
Central Metro,Pachaiyappas College,32
Central Metro,Kilpauk,32
Central Metro,Nehru Park,32
Central Metro,Egmore,32
Central Metro,St. Thomas Mount,32

High Court,Airport,32
High Court,Meenambakkam,32
High Court,Nanganallur Road,32
High Court,Arignar Anna Alandur,32
High Court,Guindy,32
High Court,Little Mount,32
High Court,Saidapet,32
High Court,Nandanam,32
High Court,Teynampet,32
High Court,AG-DMS,24
High Court,Thousand Lights,24
High Court,LIC,16
High Court,Government Estate,16
High Court,Central Metro,8
High Court,High Court,0
High Court,Mannadi,8
High Court,Washermenpet,16
High Court,Thyagaraya College,24
High Court,Tondiarpet,24
High Court,New Washermenpet,32
High Court,Toll Gate,32
High Court,Kaladipet,32
High Court,Thiruvotriyur Theredi,32
High Court,Thiruvotriyur,32
High Court,Wimco Nagar,32
High Court,Wimco Nagar Depot,32
High Court,Ekkattuthangal,32
High Court,Ashok Nagar,32
High Court,Vadapalani,32
High Court,Arumbakkam,32
High Court,CMBT Metro,32
High Court,Koyambedu,32
High Court,Thirumangalam,32
High Court,Anna Nagar Tower,32
High Court,Anna Nagar East,32
High Court,Shenoy Nagar,32
High Court,Pachaiyappas College,32
High Court,Kilpauk,32
High Court,Nehru Park,32
High Court,Egmore,32
High Court,St. Thomas Mount,32

Mannadi,Airport,32
Mannadi,Meenambakkam,32
Mannadi,Nanganallur Road,32
Mannadi,Arignar Anna Alandur,32
Mannadi,Guindy,32
Mannadi,Little Mount,32
Mannadi,Saidapet,32
Mannadi,Nandanam,32
Mannadi,Teynampet,32
Mannadi,AG-DMS,24
Mannadi,Thousand Lights,24
Mannadi,LIC,24
Mannadi,Government Estate,24
Mannadi,Central Metro,16
Mannadi,High Court,8
Mannadi,Mannadi,0
Mannadi,Washermenpet,8
Mannadi,Thyagaraya College,16
Mannadi,Tondiarpet,16
Mannadi,New Washermenpet,24
Mannadi,Toll Gate,32
Mannadi,Kaladipet,32
Mannadi,Thiruvotriyur Theredi,32
Mannadi,Thiruvotriyur,32
Mannadi,Wimco Nagar,32
Mannadi,Wimco Nagar Depot,32
Mannadi,Ekkattuthangal,32
Mannadi,Ashok Nagar,32
Mannadi,Vadapalani,32
Mannadi,Arumbakkam,32
Mannadi,CMBT Metro,32
Mannadi,Koyambedu,32
Mannadi,Thirumangalam,32
Mannadi,Anna Nagar Tower,32
Mannadi,Anna Nagar East,32
Mannadi,Shenoy Nagar,32
Mannadi,Pachaiyappas College,32
Mannadi,Kilpauk,32
Mannadi,Nehru Park,32
Mannadi,Egmore,32
Mannadi,St. Thomas Mount,32

Washermenpet,Airport,40
Washermenpet,Meenambakkam,32
Washermenpet,Nanganallur Road,32
Washermenpet,Alandur Metro,32
Washermenpet,Guindy,32
Washermenpet,Little Mount,32
Washermenpet,Saidapet,32
Washermenpet,Nandanam,24
Washermenpet,Teynampet,24
Washermenpet,AG-DMS,24
Washermenpet,Thousand Lights,24
Washermenpet,LIC,24
Washermenpet,Government Estate,24
Washermenpet,Central Metro,16
Washermenpet,High Court,16
Washermenpet,Mannadi,8
Washermenpet,Washermenpet,0
Washermenpet,Thyagaraya College,8
Washermenpet,Tondiarpet,8
Washermenpet,New Washermen pet,16
Washermenpet,Toll Gate,16
Washermenpet,Kaladipet,16
Washermenpet,Thiruvotriyur Theredi,24
Washermenpet,Thiruvotriyur,24
Washermenpet,WimcoNagar,24
Washermenpet,WimcoNagar Depot,24
Washermenpet,Ekkattuthangal,32
Washermenpet,Ashok Nagar,32
Washermenpet,Vadapalani,32
Washermenpet,Arumbakkam,32
Washermenpet,CMBT Metro,32
Washermenpet,Koyambedu,32
Washermenpet,Thirumangalam,32
Washermenpet,Anna Nagar Tower,32
Washermenpet,Anna Nagar East,24
Washermenpet,Shenoy Nagar,24
Washermenpet,Pachaiyappas College,24
Washermenpet,Kilpauk,24
Washermenpet,Nehru Park,24
Washermenpet,Egmore,24
Washermenpet,St. Thomas Mount,32

Thyagaraya College,Airport,40
Thyagaraya College,Meenambakkam,40
Thyagaraya College,Nanganallur Road,32
Thyagaraya College,Alandur Metro,32
Thyagaraya College,Guindy,32
Thyagaraya College,Little Mount,32
Thyagaraya College,Saidapet,32
Thyagaraya College,Nandanam,32
Thyagaraya College,Teynampet,24
Thyagaraya College,AG-DMS,24
Thyagaraya College,Thousand Lights,24
Thyagaraya College,LIC,24
Thyagaraya College,Government Estate,24
Thyagaraya College,Central Metro,24
Thyagaraya College,High Court,16
Thyagaraya College,Mannadi,16
Thyagaraya College,Washermenpet,8
Thyagaraya College,Thyagaraya College,0
Thyagaraya College,Tondiarpet,8
Thyagaraya College,New Washermen pet,8
Thyagaraya College,Toll Gate,16
Thyagaraya College,Kaladipet,16
Thyagaraya College,Thiruvotriyur Theredi,16
Thyagaraya College,Thiruvotriyur,24
Thyagaraya College,WimcoNagar,24
